"管理用番号","市町村コード","基準地番号・標準地番号(最新年)","地価調査・地価公示の別","用途","所在(市町村名)","所在(大字以降)","所在(住居表示)","経度(世界測地系)","緯度(世界測地系)","平成5年(1993)","平成6年(1994)","平成7年(1995)","平成8年(1996)","平成9年(1997)","平成10年(1998)","平成11年(1999)","平成12年(2000)","平成13年(2001)","平成14年(2002)","平成15年(2003)","平成16年(2004)","平成17年(2005)","平成18年(2006)","平成19年(2007)","平成20年(2008)","平成21年(2009)","平成22年(2010)","平成23年(2011)","平成24年(2012)","平成25年(2013)","平成26年(2014)","平成27年(2015)","平成28年(2016)","平成29年(2017)","平成30年(2018)","平成31年(2019)","令和2年(2020)","経度","緯度","分類"
"100145","302082","紀の川5-5","地価公示","商業","紀の川市","貴志川町神戸字西ノ川３９５番３","","135.3131396","34.21472545","","","162,000","155,000","146,000","141,000","132,000","124,000","117,000","109,000","101,000","92,800","84,500","77,500","73,900","70,200","65,000","59,800","55,000","50,500","46,100","42,900","41,400","40,100","39,000","38,100","37,300","36,400","135.313139600006","34.2147254499971","R02地価公示標準地"
"100148","302091","岩出5-1","地価公示","商業","岩出市","中迫字塚本１５６番２","","135.3146684","34.26046426","","","375,000","335,000","305,000","281,000","251,000","232,100","217,000","201,000","186,000","170,000","145,000","133,000","124,000","119,000","115,000","110,000","106,000","102,000","99,300","97,900","97,900","98,600","98,700","98,700","98,700","98,700","135.314668400008","34.2604642599993","R02地価公示標準地"
"100151","303411","かつらぎ5-1","地価公示","商業","かつらぎ町","大字笠田東字男子１０５番３","","135.4818837","34.28957438","","","","","","","","95,000","89,100","84,600","78,500","67,100","59,500","53,500","50,600","50,500","49,000","46,700","44,100","42,500","40,900","39,400","38,100","36,900","35,800","34,900","34,100","33,400","135.481883700005","34.2895743799972","R02地価公示標準地"
"100154","303437","九度山5-1","地価公示","商業","九度山町","大字九度山字鳥居芝５６８番２","","135.5645314","34.28894523","","","64,500","64,500","64,500","64,500","64,000","63,600","63,000","61,800","60,300","55,000","51,100","47,500","45,000","45,000","43,900","42,400","40,800","39,700","38,100","36,000","34,000","32,600","31,200","29,900","28,800","27,900","135.564531400004","34.2889452299984","R02地価公示標準地"
"100195","303615","湯浅5-1","地価公示","商業","湯浅町","大字湯浅字殿田１６１２番１","","135.181154","34.03740142","","","","","","","","","","","","","","","","","","","","53,700","50,300","47,200","44,400","42,300","40,500","39,000","37,500","36,100","135.181154000007","34.0374014199934","R02地価公示標準地"
"100162","303666","有田川5-1","地価公示","商業","有田川町","大字明王寺字明王寺原３３８番４外","","135.1962232","34.05772811","","","153,000","147,000","142,000","139,000","132,000","125,000","120,000","114,000","108,000","102,000","96,300","91,000","90,500","90,100","85,200","79,800","75,200","70,000","66,400","66,400","63,800","61,800","60,000","58,300","56,600","54,900","135.196223200007","34.057728109993","R02地価公示標準地"
"100165","303810","和歌山美浜5-1","地価公示","商業","美浜町","大字田井字番留５６６番１","","135.1508116","33.88644533","","","110,000","107,000","105,000","103,000","102,000","100,000","98,000","95,500","90,000","84,600","79,000","72,200","66,200","64,700","62,100","57,100","53,600","50,400","47,300","44,700","42,400","40,600","39,000","37,800","36,700","35,500","135.150811600004","33.8864453299971","R02地価公示標準地"
"100168","303836","由良5-1","地価公示","商業","由良町","大字里字吉路４３７番２外","","135.1266019","33.96803088","","","","","64,500","64,200","63,600","63,000","62,500","61,200","59,700","57,900","56,000","52,700","50,000","47,700","45,000","42,000","39,000","36,500","33,900","31,700","30,200","29,400","28,700","28,200","27,700","27,200","135.126601900004","33.9680308799986","R02地価公示標準地"
"100171","303917","みなべ5-1","地価公示","商業","みなべ町","芝字松原４４６番７","","135.32306","33.76580321","","","114,000","113,000","112,000","111,000","109,000","105,000","102,000","99,000","94,000","89,000","84,000","80,500","77,100","73,900","70,000","66,400","62,500","58,100","54,500","51,600","48,900","47,500","46,200","45,100","44,200","43,400","135.323060000005","33.7658032100001","R02地価公示標準地"
"100176","304018","白浜5-1","地価公示","商業","白浜町","字浜通リ３７４２番２４外","","135.3431172","33.67859139","","","","","","","","","","","121,000","111,000","102,000","98,800","95,500","90,300","85,700","80,900","76,000","72,800","70,100","68,000","66,900","65,900","65,100","65,100","65,100","65,100","135.343117200005","33.6785913900007","R02地価公示標準地"
"100211","304018","白浜5-2","地価公示","商業","白浜町","日置字蛇原２０３９番６２","","135.431938","33.570447","","","","","","","","","","","","","","","","","","","","","","","","26,600","25,800","25,100","24,500","23,900","135.431938000005","33.5704469999996","R02地価公示標準地"
"100180","304042","上富田5-1","地価公示","商業","上富田町","朝来字里田１４００番１","","135.4183072","33.6950505","","","","","","105,000","103,000","98,500","93,800","89,500","84,500","79,900","75,000","71,200","67,500","64,400","61,100","57,700","54,100","51,600","48,500","46,000","44,100","42,900","42,000","41,400","40,900","40,500","135.418307200004","33.6950504999982","R02地価公示標準地"
"100221","304069","すさみ5-1","地価公示","商業","すさみ町","周参見字堀地４０３７番１","","135.4970221","33.5501441","","","","","","","","","","","","","","","","","","","","","","","","","","29,800","29,100","28,500","135.497022100008","33.5501440999981","R02地価公示標準地"
"100186","304212","那智勝浦5-1","地価公示","商業","那智勝浦町","大字築地４丁目２番９","築地４－２－９","135.9423412","33.62833921","","","","","","","","","","","","","","","","103,000","92,500","82,600","72,000","62,000","55,400","52,600","50,100","47,900","45,900","44,100","42,700","41,800","135.942341200005","33.6283392099984","R02地価公示標準地"
"100191","304280","串本5-1","地価公示","商業","串本町","串本字小森生４２番２４外","","135.7815984","33.47470867","","","153,000","151,000","150,000","148,000","144,000","140,000","133,000","126,000","118,000","109,000","95,000","83,500","76,000","70,900","65,900","61,000","56,500","51,000","46,300","43,500","41,300","39,600","38,100","36,800","35,600","34,500","135.781598400007","33.4747086700003","R02地価公示標準地"
"100081","302015","和歌山9-1","地価公示","工業","和歌山市","築港２丁目３番４","","135.1552655","34.22382329","140,000","133,000","125,000","115,000","107,000","102,000","95,000","88,500","85,000","76,500","68,700","61,600","54,800","49,000","44,800","41,600","39,700","37,800","36,000","34,000","30,900","28,300","26,200","25,600","25,100","24,700","24,400","24,100","135.155265500002","34.2238232899996","R02地価公示標準地"
"100082","302015","和歌山9-2","地価公示","工業","和歌山市","小倉字芝中２９４番３８","","135.2970861","34.2505428","80,000","75,000","75,000","75,000","74,000","73,500","70,500","68,000","66,000","60,000","54,000","48,500","43,800","40,000","36,500","34,500","32,000","29,500","27,100","25,400","23,800","22,600","21,500","20,600","19,900","19,400","19,000","18,800","135.297086100007","34.2505427999989","R02地価公示標準地"
"100232","302015","和歌山9-3","地価公示","工業","和歌山市","雑賀崎字泊り新開２０１７番２３外","","135.141715","34.198344","","","","","","","","","","","","","","","","","","","","","","","","","","","","20,000","135.141715000004","34.1983439999995","R02地価公示標準地"
"100218","302015","和歌山9-4","地価公示","工業","和歌山市","直川字中川田１８５番１外","","135.216572","34.2581864","","","","","","","","","","","","","","","","","","","","","","","","","34,800","34,600","34,400","34,300","135.216572000003","34.2581863999968","R02地価公示標準地"
